date,open,high,low,close,volume
2026-08-13,4410,4420,4200,4220,47612300
2026-08-14,4200,4320,4160,4270,47216700
2026-08-18,4300,4320,4220,4250,43559200
2026-08-19,4220,4250,4140,4140,40654900
2026-08-20,4240,4510,4240,4470,161785000
2026-08-21,4500,4520,4410,4480,48112000
2026-08-24,4500,4600,4460,4500,64829200
2026-08-26,4520,4600,4390,4390,77753300
2026-08-27,4380,4470,4350,4450,38236000
2026-08-28,4450,4480,4370,4410,34578100
2026-08-31,4350,4360,4280,4330,53452700
2026-09-01,4360,4400,4330,4360,34188000
2026-09-02,4360,4360,4270,4270,39417800
2026-09-03,4340,4430,4290,4430,42034800
2026-09-04,4450,4470,4350,4390,33467900
2026-09-07,4390,4430,4360,4410,30029000
2026-09-08,4440,4700,4430,4670,122055000
2026-09-09,4680,4910,4640,4910,122894600
2026-09-10,4910,4950,4800,4810,77192900
2026-09-11,4710,4920,4650,4860,89519300
2026-09-14,4800,5100,4800,5100,169146700
2026-09-15,5100,5125,4970,5100,34910300
